,name,text_cleaned,year,type
10,Shinhan,"2020 Shinhan Asset Management’s Shinhan Beautiful SRI Green New Deal Fund Shinhan Global Sustainability ESG Fund Launched Shinhan Asset Management’s Global Sustainability ESG Fund 신한BNP파리바운용, '글로벌지속가능경영 ESG펀드' 출시 Shinhan Card’s Deep ECO Card aimed at promoting customer’s eco-friendly activities Shinhan Card’s Green Mobility Campaign 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 25 L A T N E M N O R V N E I Issuance of ESG Bonds ・ Have been active in issuing green bonds and ESG bonds for eco-friendly investment financing; and beginning with the issuance of a green bond by Shinhan Bank in 2018, other Group subsidiaries, including Shinhan Card and Shinhan Capital, are expanding the issuance of ESG bonds ESG Bond and ESG Finance Standards ・ Use the Green Bond Principle and Social Bond Principle of the International Capital Market Association (ICMA) as standards for the use of fund raised through ESG bonds and financial performance, and communicate with stakeholders as a way to align Shinhan’s ESG finance with not only social and environmental values but also the UN SDGs ・ Issued social bonds and ESG bonds in 2020 to help recover from COVID-19 damages; and plan to issue bonds aimed for expanding eco-friendly businesses in 2021 ・ Implement green finance categorizations (K-Taxonomy) in accordance with the green bond guidelines announced by the Ministry of Environment in December 2020; and plan to expand green financing according to the environmental categorization standards in Korea (K-Taxonomy) ESG Bonds Environmental Industry & Project Social Industry & Project COVID-19 support (USD 500 million) COVID-19 support (USD 50 million) COVID-19 support (AUD 400 million) COVID-19 support (USD 400 million) Renewable energy, low-income housing, etc.",2020.0,ab
11,Shinhan,"71 285,301 306,978 339,048 1) Energy Industry Classification Status (Korea Energy Economics Institute) – Including only mining, manufacturing, and supplying of energy-related products, excluding such activities as distribution and transportation 2) Direct mining of fossil fuels (mining industry) 3) Direct mining as well as manufacturing/power generation businesses 4) Additional exposure resulting from OrangeLife’s incorporation into the Group in 2019 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 28 Eco-friendly Policy Declaration of the Zero Carbon Drive Shinhan Financial Group ・ Declared the “ECO Transformation 20•20” in 2018 and have been implementing a measure that invests KRW 20 trillion in the green industry by 2030 and reduces greenhouse gas emissions by 20%; and became the first financial group in East Asia to declare the “Zero Carbon Drive” in November 2020 ・ Establish the “Action Principles towards Climate Change” which defines principles required to a financial company to respond to climate change, for the first time among Korean companies, with the goal of strengthening the climate change response system at the Group level; and set 5 Climate Action Principles to limit global warming to below 1.",2020.0,ab
12,Shinhan,• Reduce of GHG emissions and increase the use of renewable energy throughout the Group’s business operations.,2020.0,ab
13,Shinhan,"Shihan Bank ・ Declared “No New Coal Financing” as its commitment to practicing climate finance to achieve carbon neutrality by 2050 ・ Developed competitiveness in climate risk response and climate finance through declaration as a CDP signatory (2007), joining of Principles for Responsible Banking (2019), declaration of past-coal finance (2021), and satisfaction of all execution items of the Net-Zero Banking Alliance (2021) Shinhan Card ・ Supported increased dissemination of eco-friendly transportation, including electric cars and buses, in connection with the eco-friendly transportation market; and conducted activities aimed at reducing carbon emissions Shinhan Asset Management ・ Launched an ESG-exclusive fund Stewardship Code & Customer Engagement Shinhan Financial Group Shinhan Life Insurance OrangeLife Shinhan Asset Management ・ Shinhan Asset Management, Shinhan Life Insurance, OrangeLife, Shinhan Alternative Investment Management, and Shinhan Venture Investment adopted the Stewardship Code and participated in the Group’s ESG management ・ Review the mid- to long-term value or social responsibilities of investment target companies and pursue a shareholder return policy, including participating in governance improvements and increasing dividends, thus contributing to capital market advancement through the adoption of the Stewardship Code ・ Each Group affiliate transparently discloses regulations on exercising voting rights on their website, details of exercising voting rights, and details of trustee responsibility fulfillment activities ・ Shinhan Asset Management exercised voting rights on 18 companies to fulfill responsibilities as a trustee that manages customer assets, and sent a public letter to 242 companies to identify carbon emissions, emission reduction goals, and the status of low carbon/eco-friendly programs ・ Shinhan Asset Management plans to have companies that have acquired a certain level of ESG grade account for at least 70% of the domestic equity-type public offering fund portfolio starting in 2021 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 29 L A T N E M N O R V N E I Environmental Management System Shinhan Financial Group Implementation of GHG/Energy Reduction Shihan Bank ・ Minimize GHG emissions through efficient use of resources and energy Minimize environmental impact that may arise in business activities based on the Group’s eco-friendly strategy Carry out systematic eco-friendly activities through the environmental management system ・ ・ Contribute to national GHG reduction by implementing the government’s reduction target every year as a GHG/energy management companyOperate a company-wide environment and energy council on a quarterly basis to regularly monitor performance in environmental protection and energy management Environmental Management Standards Information on GHG Emissions Environmental Management ・ ・ ・ ・ ISO 14001 Shinhan Bank, Shinhan Card, Shinhan Investment, Shinhan Life Insurance, and Shinhan Capital acquired the top-tier environmental management certification Integrated Green Management System Shinhan Financial Group Monitor selected environmental indices that require continued improvement through integrated green management system Established measurement criteria for each of the 12 indices in the areas of resource management, energy/GHG management, waste management, green management training, green products/services, and social contribution; and conduct monitoring on a regular basis to minimize environmental impact Operational Performance Management Performance Environmental Performance Indexes Resource management Energy/GHG management Waste management Paper usage Energy consumption Waste generation Water consumption GHG emissions Waste recycling rate Water recycling rate Business trip distance Green management training Green products/ services Social contribution Green management training Green product purchase rate Social contribution performance Green product performance Provide information on Scope 1, 2, 3 GHG emissions reported data based on Shinhan Financial Group, Shinhan Bank, Shinhan Card, Shinhan Investment, Shinhan Life Insurance, OrangeLife, Shinhan Asset Management, Shinhan Capital and Jeju Bank SCOPE 1 Use of fuel for heating (stationary combustion), fuel for vehicles (mobile combustion) of headquarters and branches SCOPE 2 Indirect emissions that are generated to create electricity and steam that are purchased by headquarters and branches SCOPE 3 External emissions caused by logistics, business trips, supply chain, and product use GHG Emissions (Scope 1, 2) Scope 1+2 Scope 1 Scope 2 GHG emissions intensity (Employee1)) 2017 97,630.",2020.0,ab
14,Shinhan,"2 1) Emissions per employee (Excluding employees at Jeju Bank, and based on full-time employees) 2) Increase of GHG emissions resulting from OrangeLife’s incorporation into the Group 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 30 Total energy consumption Electricity Town gas Gasoline Diesel GHG emissions intensity (Employee)1) 2018 56,411.",2020.0,ab
15,Shinhan,"8 GHG Emissions (Scope3) Energy Consumption L A T N E M N O R V N E I Scope3 Business trips Cash-in- transit Purchase of Products and Services Capital Goods Waste Water Airline (Domestic) Train Bus Diesel LPG Printing paper Credit card Bankbook Laptop PC desktop Monitor Printer LED lights (50W) Credit card Bankbook General waste (Incineration) Recycled waste (Paper) Recycled waste (Styrofoam) Recycled waste (Glass) Recycled waste (Can) Recycled waste (Plastic) Tap water Underground water 2017 19,462.",2020.0,ab
16,Shinhan,"2% in December OrangeLife Expansion of Digital Services ・ Expanded mobile services using digital services, including information letters, insurance policy, and terms Practicing Eco-friendly Management Shinhan Card Adoption of Hybrid Vehicles ・ Replaced internal combustion engine vehicles used for work with eco-friendly vehicles as a way to take part in reducing GHG emissions by reducing exhaust gas that is discharged from vehicles ・ Hybrid vehicles accounted for 30.",2020.0,ab
17,Shinhan,"・ Became the first company in Korea to produce a UNEP FI GSC Representative, an outcome of receiving international recognition for performing leading roles in promoting green financing in Korea UNEP FI Finance Imitative Supporting TCFD Shinhan Financial Group ・ Became the first company in Korea to publicly declare support for TCFD and its recommendations; and published the Group’s first TCFD report in 2019 ・ Shinhan Asset Management became the first asset manager in Korea to declare support for the TCFD; and is strengthening green financing and responsible investing strategies TCFD Report ・ Plan to reflect climate change factors in the overall asset management business, including policy, investment process, and product development Management of the Group’s Carbon Emissions Set a reduction target using a scientific approach that is based on the Paris Climate Agreement (2℃ scenario) (SBTi1) 1.",2020.0,ab
18,Shinhan,"• Gross Value Added (GDP contribution): taxes, Environment GHG emissions, air quality, energy management, water & wastewater management, waste & hazardous materials management, ecological impacts, etc.",2020.0,ab
19,Shinhan,"Green ② Build a system for responding to climate change We declared carbon neutrality, and will achieve zero carbon emissions by reducing and Zero Carbon Drive, TCFD Report ⑨ Expand eco-friendly investments We will provide KRW 30 trillion for green financing by 2030 to fulfill roles as a financial institution for future generations.",2020.0,ab
20,Shinhan,"Business Results, Mid-to Long-term Plan, Governance | Digital Finance GRI Index 305-1 418-1 N/A 203-1, FS14 401-3 203-1 102-30 206-1 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 88 Global Initiatives GRI Standards Index Universal Standards (GRI 100) GRI 102: General Disclosures 2016 Organizational Profile Classification Disclosure Indicators Note Strategy Ethics and Integrity Governance 102-1 102-2 102-3 102-4 102-5 102-6 102-7 102-8 102-9 102-10 102-11 102-12 102-13 102-14 102-15 102-16 102-17 102-18 102-20 102-22 102-23 102-24 102-25 102-26 102-28 102-29 102-30 102-31 102-32 102-33 102-34 102-35 102-36 102-38 102-39 Name of the organization Activities, brands, products, and services Location of headquarters Location of operations Ownership and legal form Markets served Scale of the organization Information on employees and other workers Supply chain Significant changes to the organization and its supply chain Precautionary Principle or approach External initiatives Membership of associations Statement from senior decision-maker Key impacts, risks, and opportunities Values, principles, standards, and norms of behavior Mechanisms for advice and concerns about ethics Governance structure Executive-level responsibility for economic, environmental, and social topics Composition of the highest governance body and its committees Chair of the highest governance body Nominating and selecting the highest governance body Conflicts of interest Role of highest governance body in setting purpose, values, and strategy Evaluating the highest governance body’s performance Identifying and managing economic, environmental, and social impacts Effectiveness of risk management processes Review of economic, environmental, and social topics Highest governance body’s role in sustainability reporting Communicating critical concerns Nature and total number of critical concerns Remuneration policies Process for determining remuneration Annual total compensation ratio Percentage increase in annual total compensation ratio 9, 76-80, 91-96 Page 4 4 100 5 4 5 4 42 4 4 61-62 60 14-15 14-19 58 59-60 50-56 50-53 50, 53 50-51 50-51 18-19, 57 16-17, 57 54-55 16-17, 57 61-62 16-17, 57 16-17, 57 57, 85-87 86-87 55 55 55 55 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 89 GRI 102: General Disclosures 2016 Classification Stakeholder Engagement Disclosure Indicators Note Reporting Practice 102-40 102-41 102-42 102-43 102-44 102-45 102-46 102-47 102-48 102-49 102-50 102-51 102-52 102-53 102-54 102-55 102-56 103-1 103-2 103-3 201-1 201-2 201-3 202-1 203-1 203-2 205-1 205-2 205-3 List of stakeholder groups Collective bargaining agreements Identifying and selecting stakeholders Approach to stakeholder engagement Key topics and concerns raised Entities included in the consolidated financial statements Defining report content and topic Boundaries List of material topics Restatements of information Changes in reporting Reporting period Date of most recent report Reporting cycle Contact point for questions regarding the report Claims of reporting in accordance with the GRI Standards GRI content index External assurance Explanation of the material topic and its Boundary The management approach and its components Evaluation of the management approach Direct economic value generated and distributed Financial implications and other risks and opportunities due to climate change Defined benefit plan obligations and other retirement plans Ratios of standard entry level wage by gender compared to local minimum wage Infrastructure investments and services supported Significant indirect economic impacts Operations assessed for risks related to corruption Communication and training about anti-corruption policies and procedures Confirmed incidents of corruption and actions taken GRI 103: Management Approach 2016 Management Approach Economic Performance (GRI 200) GRI 201: Economic Performance 2016 Economic Performance GRI 202: Market Presence 2016 GRI 203: Indirect Economic Impacts 2016 Market Presence Indirect Economic Impacts GRI 205: Anti-corruption 2016 Anti-corruption GRI 206: Anti-competitive Behavior 2016 206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices Zero GRI 207: TAX 2019 Environmental Performance (GRI 300) GRI 302: Energy 2016 GRI 303: Water and Effluents 2018 Anti-competitive Behavior Tax 207-1 Approach to tax Energy Water 302-1 303-5 Energy consumption within the organization Water consumption 86-87, 100 86-87 About This Report About This Report About This Report About This Report About This Report About This Report About This Report 33, 78-79, 92 Page 85 48 85-86 85-86 86-87 4 88-90 98-99 86-87 86-87 86-87 7 43 43 36-40 36-40 58-60 58-60 59 59-60 63 29-30 31 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 90 Classification Disclosure Indicators Note GRI 305: Emissions 2016 Emissions GRI 306: Effluents and Waste 2016 Effluents and Waste Social Performance (GRI 400) GRI 401: Employment 2016 GRI 403: Occupational Health and Safety 2018 GRI 404: Training and Education 2016 GRI 405: Diversity and Equal Opportunity 2016 Employment Occupational Health and Safety Training and Education 305-1 305-2 305-3 305-4 306-3 306-4 401-1 401-3 403-6 403-9 404-1 404-2 405-1 Direct (Scope 1) GHG emissions Energy indirect (Scope 2) GHG emissions Other indirect (Scope 3) GHG emissions GHG emissions intensity Significant spills Transport of hazardous waste New employee hires and employee turnover Parental leave Promotion of worker health Work-related injuries Average hours of training per year per employee Programs for upgrading employee skills and transition assistance programs Diversity of governance bodies and employees Diversity and Equal Opportunity 405-2 Ratio of basic salary and remuneration of women to men GRI 412: Human Rights Assessment 2016 GRI 413: Local Communities GRI 415: Public Policy 2016 GRI 418: Customer Privacy 2016 Local Communities Public Policy 412-2 413-1 415-1 Employee training on human rights policies or procedures Operations with local community engagement, impact assessments, and development programs Political contributions Customer Privacy 418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data GRI 419: Socioeconomic Compliance 2016 Financial Services Sector Supplement Socioeconomic Compliance Product Portfolio 419-1 Non-compliance with laws and regulations in the social and economic area FS7 FS8 FS14 Monetary value of products and services designed to deliver a specific social benefit for each business line broken down by purpose Monetary value of products and services designed to deliver a specific environmental benefit for each business line broken down by purpose Initiatives to improve access to financial services for disadvantaged people Community Page 29-30 29-30 29-30 29 31-32 31-32 42 43, 82 48, 83 48 44-45 44-46 41, 43 58, 73 38-40 60 70-71 67 36-38 21-27 36-38 41, 51-52, 81-82 There is no difference based on gender, while there is a difference in the paid amount based on length of service * Ratio of salary of female employees against male employees at the Bank (based on basic salary): 0.",2020.0,ab
21,Shinhan,"1 C6 01 BUSINESS REPORT INTRODUCTION SHINHAN ESG WAY ENVIRONMENTAL SOCIAL GOVERNANCE 02 INITIATIVE REPORT 03 APPENDIX 97 KRX ESG Disclosure Guidance KRX Recommendation for ESG Information Disclosure Item Index Content PART A: ORGANIZATION ESG Response ESG Evaluation Stakeholder PART B: ENVIRONMENT GHG Emissions Energy Consumption Water Consumption Waste Discharge Violation of Law and Incident PART C: SOCIETY Employee Health & Safety Information Security Fair Competition Roles of the management ESG risk and opportunity Stakeholder participation Roles of the management in relation to the identification and management of ESG issues Assessment of ESG-related risks and opportunities Method of stakeholder participation in the ESG process Direct GHG emissions (Scope 1) Indirect GHG emissions (Scope 2) GHG emissions intensity Direct energy consumption Indirect energy consumption Energy consumption intensity Total volume of water used Total volume of waste discharged Violation of environmental law and incident Amount of GHG emitted into the air by physical devices or factories that are owned and managed by the company Amount of GHG emissions caused by electricity, cooling and heating, and steam emissions that were purchased or obtained for company use Amount of GHG emitted per unit of activity, production, and other organizational-level metric system Amount of energy consumption of subjects owned or managed by an organization Amount of energy consumed outside the organization, such as use and disposal and treatment of sold products Amount of energy consumption needed per unit of activity, production, and other organizational-level metric system Total volume of water used by the organization Total weight of wastes by treatment method, such as reclamation and recycling No.",2020.0,ab
22,Danamon,,2020.0,ab
23,Krungthai,"The Bank operations to support the SDGs are as follows: Payment Ecosystem: PromptPay, QR Code, EDC, Thung Ngern App, State Welfare Card Government Ecosystem: Chim- Shop-Chai (Taste-Shop-Spend) scheme, Kon La Krueng’’ co-payment scheme, Rao Tiew Duay Kan (We Travel Together) co-payment scheme, Thai Chana platform, Rao Mai Ting Kan [No one will be left behind] campaign, One Bath Bond, VAT Refund for Tourist, e-court, e-withholding tax Education Ecosystem: University App, Student Loan Fund (SLF) Health and Wellness Ecosystem: Smart Hospital, Health wallet Mass Transit Ecosystem: ticket e-payment, EDC, M-Pass, Mangmoon card X2G2X Green Financing SME Loan, Blue Flag Shops, Agriculture business, Tourism business, retails business, wholesale business, Robotics Retails Customers NEXT App Pao Tang App CONNEXT App Digital branch (queen online, e-KYC, e-signature, dipdhip, atm contactless, tablet, wireless lan) Go Local Grow Local Project - Suan Durian - Kok Krai - Tha Ma-O - Baan Laem - Baan Duea - Sanuan Nok - Mae Kampong i s e c v r e S / t c u d o r P n o i t a e p O r / s e v i t a i t i n I 020 n o i t a e p O r / s e v i t a i t i n I Other CSR Projects - Financial Literacy - Friends in Need (of “PA”) Volunteers Foundation - Krungthai Weaving Dream for University Graduates Krungthai Relife Koh Tao, Better Together Project in collaboration with UNDP and Raks Thai Foundation Human Rights Labour Furthermore, the Bank placed emphasis on operating business sustainably under guidelines and standards of the national and international levels.",2020.0,ab
24,Krungthai,"Performance Assessment Strictly conduct business in accordance with the laws and regulations of the regulatory authorities as well as principles of good corporate governance - Stipulate clear procurement regulations and policy which gives complete information - Process a fair, transparent and auditable procurement - Perform in accordance with trade conditions and agreement - No acceptance of any gift, present, private or group invitation for which the partner is financially responsible 091 Process Frequency Need Guideline Regulatory agencies Throughout the year according to time frame of each business unit - Meeting to acknowledge policies and regulatory guidelines - Receiving audit from regulatory agencies - Conduct a report to submit to regulatory agencies, and get feedback - Conduct business in compliance with laws, regulations, and manage the operations efficiently - Security of the Bank’s work system - Transparency of the organization and its work system - Provide services to customers fairly - Adhere to assessment principles of the Bank, both in the form of self-assessment and award criteria in various fields to improve the process to be efficient - Code of conduct for fair and transparent business operations - Strictly comply to the Bank’s regulations - Propose suggestions, observations and feedback from regulatory agencies to handle and improve work process to align with international standard 092 Environmental and Social Sustainability Transforming food waste from a bank’s canteen 120 KGs/day or nearly 28 tons/year Getting high quality soil 40 KGs/day or nearly 9 tons/year Reducing GHG 70,084 CO2e = 70 rai of tree planting Krungthai RELIFE 093 FINANCIAL SUPPORT FOR ESG BUSINESSES The Bank places importance on environmental and social issues, including concerning human rights and responding to challenges from climate change.",2020.0,ab
25,Krungthai,"7 kgCO2e (kg CO2-equivalent) 1,107 kilograms 10,850 Baht In addition, the Bank also participated in the Shred2Share Project, together with over 64 partners.",2020.0,ab
26,Krungthai,"033 302-1, 305-2 HEAD OFFICES’ ELECTRICITY USAGE DURING 2017-2019 Unit 2017 2018 2019 KWh GJ KWh GJ KWh GJ Sukhumvit Building Nana Nua Building GHG Emissions : Total scope 2 Co2emissions (TonCo2eq) 5,405,000 6,193,576 19,458.",2019.0,ab
27,Krungthai,19 Bangkok Central Northeastern Southern Northern GHG Emissions : Total scope 2 Co2emissions (TonCo2eq) * Emission Factor (GtoG) 1 K=KWh = 0.,2019.0,ab
28,BDO,"19 Materiality 102-46, 102-47 Material Topic Economic Performance How BDO delivers sustainable returns to its shareholders and attains consistent market growth Banking Network and Access How BDO’s wide reach and online services provide convenient and reliable access to its customers Innovative Customer-Focused Products and Services How BDO innovates to meet the needs of its customers and unbanked members of society Development of Commercial Banking Products and Services How BDO provides a full range of banking products and services to help grow and expand businesses Development of Investment Banking Products and Services How BDO provides access to capital and anticipates clients’ funding requirements thereby helping address the private sector’s need for capitalization Development of Wealth Management and Advisory Products How BDO meets its fiduciary obligations and helps promote financial wellness and literacy to its customers Development of Insurance Services How BDO helps its clients achieve financial security and peace of mind by offering accessible insurance solutions to protect their assets and productive capacity Green Financing How BDO provides financing in eco-friendly solutions and green facilities to promote clean energy Financing for Developmental Projects How BDO facilitates funding to large-scale development projects that support national economic growth MSME Financing How BDO creates financial products to help micro, small, and medium enterprises grow Employee Integrity and Development How BDO develops a “can lead” mind-set able to innovate and maintain a customer-focused attitude Employee Development and Training How BDO retains and develops employees, recognizes achievements, and provides long-term professional growth Community Involvement How BDO uplifts the lives of its communities through social development and disaster resilience programs Regulatory and Legal Compliance How BDO complies with legal requirements and other relevant regulatory bodies Corporate Governance and Business Ethics How BDO operates on principles of accountability, transparency, integrity, and fairness Customer Rights, Privacy, and Welfare How BDO protects the information of its customers, complies with the Data Privacy Act, and protects the welfare of its customers Topic Boundary Within BDO and with key stakeholders Within BDO and with customers Within BDO and with partners and customers Within BDO and with partners, customers, and regulators Within BDO Within BDO and with host communities Within BDO and with regulators Within BDO Within BDO and with regulators and customers 20 Our Materiality Matrix HIGH r e d l o h e k a t S n o e c n e u l f n s n o i s i c e D d n a s t n e m s s e s s A I Key Themes Economic Performance Customer Rights, Privacy, and Welfare Banking Network and Access Innovative Customer-Focused Products and Services Regulatory and Legal Compliance Employee Development and Training Corporate Governance and Business Ethics Development of Commercial Banking Products and Services Financing for Developmental Projects Employee Integrity and Development MSME Financing Green Financing Development of Investment Banking Products and Services Development of Wealth Management and Advisory Products Community Involvement Development of Insurance Services Significance of Impact on the Economy, Environment, and Society HIGH Stakeholder Engagement Stakeholder Group Shareholder or Investor Relevance ▪ Providers of resources essential to BDO’s goal to deliver results, enhanced economic returns, and shared value 102-40, 102-42, 102-43, 102-44 Channels of Engagement▪ Annual Stockholders’ Meeting ▪ Investor meetings Relevant Topics ▪ Economic Performance Our Commitment ▪ Provide transparent and timely disclosures Employee ▪ Proponent of BDO’s vision, mission, and objectives ▪ Face-to-face meetings▪ Annual performance Development ▪ Employee Integrity and ▪ Roll out leadership Customer or Client ▪ Patrons of BDO’s products and services appraisals ▪ Customer touchpoints▪ Regular visits and briefings development programs, awards, and recognition for employees ▪ Constantly monitor and upgrade systems and provide timely feedback to customer concerns ▪ Banking Network and Access ▪ Customer Rights, Privacy, and Welfare Business Ethics ▪ Financing for Developmental Projects Creditor ▪ Source of assets that support BDO’s business and updates ▪ Regular correspondence ▪ Corporate Governance and ▪ Meet contractual obligations Service Provider or Supplier ▪ Suppliers and service providers vital to BDO ▪ Vendor accreditation ▪ Corporate Governance and ▪ Uphold policy on supplier Business Ethics accreditation Regulator or Policy Maker ▪ Driver of regulations and policies that aid BDO in achieving its goals process ▪ Regular correspondence▪ Formal and informal correspondence ▪ Regular audit ▪ Regulatory and Legal ▪ Comply with applicable Compliance ▪ Corporate Governance and Business Ethics Community Beneficiary Analyst or Research Organization and Media ▪ Partners in community development and local economic growth ▪ Partners in accurate reporting, upholding transparency and integrity ▪ Community engagement dialogues ▪ Meetings for program implementation ▪ Analysts’ briefings▪ Media events ▪ Community Involvement▪ Banking Network and Access ▪ Economic Performance▪ Innovative Customer- Focused Products and Services laws and regulations, provide regulators with timely disclosures, and ensure quality of financial reports ▪ Engage host communities in the design and implementation of social development programs ▪ Provide transparent and timely disclosures and updates 21 Economic Impact BDO has, over the years, strengthened its position as the country’s leading full-service bank with capabilities to serve every Filipino’s banking needs.",2018.0,ab
29,BDO,"8M pounds of coal burned Technology 63 MW Solar Photovoltaic Project Energy generation 87,643 MW/year covering the needs of 220,000 households GHG avoidance 38,832 tonnes of CO2 per year equivalent to avoiding GHG emissions of 921,469 incandescent lamps Technology 12 MW Rice husk-fired power plant Energy generation 74,880 MW/year GHG avoidance 31,285 tonnes of CO2 per year equivalent to reducing GHG emissions generated by 2,589 homes Technology 8 MW Mini Hydro Power Plant Energy generation 30,080 MW/year GHG avoidance 16,993 tonnes of CO2 per year equivalent to reducing GHG emissions generated by 3,639 passenger vehicles Biomass San Jose City I-Power Corporation | Rice Husk-Fired Power Plant Hydro Sunwest Water and Electric Company | Mini Hydro Power Plant 34 In Focus BDO Sustainable Corporate Initiatives The BDO Corporate Center Ortigas has earned a certification on Leadership in Energy and Environmental Design (LEED) in 2018, making it the first high-rise office-commercial building in the Philippines to achieve a LEED Gold Certification under the “New Construction Category”.",2018.0,ab
